FECHA;WAPP;TP;TAD;PP
15-03-22;19;78;53;9
16-03-22;12;70;26;12
17-03-22;14;66;41;14
18-03-22;67;50;20;9
21-03-22;45;65;44;8
22-03-22;32;64;34;13
23-03-22;37;60;42;9
25-03-22;29;74;29;11
28-03-22;32;47;48;12
29-03-22;47;63;37;15
30-03-22;46;48;31;9
31-03-22;17;56;48;12
01-04-22;24;43;28;7
04-04-22;33;66;44;9
05-04-22;42;70;31;14
06-04-22;44;81;30;14
07-04-22;25;93;40;14
08-04-22;23;81;31;26
11-04-22;29;82;29;10
12-04-22;31;78;41;15
13-04-22;20;83;30;18
18-04-22;23;82;31;14
19-04-22;24;102;40;7
20-04-22;32;113;34;17
21-04-22;29;122;29;16
22-04-22;13;100;19;17
25-04-22;21;133;34;20
26-04-22;19;113;37;24
27-04-22;20;125;26;24
28-04-22;18;120;32;39
29-04-22;19;119;22;23
02-05-22;21;113;28;18
03-05-22;19;107;31;14
04-05-22;20;121;60;18
05-05-22;18;144;38;23
06-05-22;19;111;23;15
09-05-22;23;118;43;21
10-05-22;24;127;44;22
11-05-22;32;140;25;20
12-05-22;29;129;31;43
13-05-22;13;131;27;51
16-05-22;18;115;29;32
17-05-22;19;113;31;42
19-05-22;23;153;27;10
20-05-22;24;144;15;25
23-05-22;32;157;25;23
24-05-22;37;179;18;17
26-05-22;35;145;41;19
27-05-22;49;168;27;24
30-05-22;48;195;36;30
31-05-22;26;169;31;22
01-06-22;32;156;35;28
02-06-22;25;177;35;30
03-06-22;30;176;37;15
06-06-22;37;194;26;23
07-06-22;35;220;39;23
08-06-22;26;181;33;26
09-06-22;50;215;48;35
10-06-22;33;185;31;35
13-06-22;49;209;28;31
14-06-22;48;197;36;16
15-06-22;41;185;31;44
16-06-22;41;199;24;32
21-06-22;46;220;25;26
22-06-22;59;253;31;45
23-06-22;78;287;27;59
24-06-22;40;288;36;65
27-06-22;79;334;14;68
28-06-22;79;418;41;165
29-06-22;132;453;41;178
30-06-22;134;358;32;181
01-07-22;113;214;23;29
04-07-22;50;212;29;38
05-07-22;41;203;54;45
06-07-22;38;187;41;23
07-07-22;47;207;47;41
08-07-22;44;185;53;24
11-07-22;44;185;34;25
12-07-22;49;208;45;25
13-07-22;29;215;30;42
14-07-22;41;196;39;40
15-07-22;29;187;27;49
18-07-22;34;218;20;23
19-07-22;41;149;31;20
20-07-22;39;199;48;36
21-07-22;26;196;44;29
22-07-22;25;173;21;37
25-07-22;17;156;31;37
26-07-22;31;192;22;24
27-07-22;23;207;29;32
28-07-22;42;220;61;54
29-07-22;31;197;37;92
01-08-22;30;160;40;22
02-08-22;31;147;33;18
03-08-22;34;142;35;31
04-08-22;19;149;37;11
05-08-22;24;172;32;20
08-08-22;31;171;46;13
09-08-22;27;152;40;14
10-08-22;36;150;45;9
11-08-22;45;156;61;29
12-08-22;35;164;27;9
16-08-22;27;156;19;14
17-08-22;25;122;26;12
18-08-22;19;140;29;15
19-08-22;31;139;20;10
22-08-22;25;205;34;13
23-08-22;25;181;36;18
24-08-22;40;167;36;14
25-08-22;30;158;20;33
26-08-22;33;142;40;30
29-08-22;36;190;51;33
30-08-22;40;167;61;39
31-08-22;42;177;41;19
01-09-22;44;126;49;16
02-09-22;5;149;14;3
05-09-22;15;131;22;22
06-09-22;28;114;39;19
07-09-22;28;100;35;16
08-09-22;32;206;42;22
09-09-22;21;169;25;18
12-09-22;21;180;40;19
13-09-22;21;182;44;22
14-09-22;18;159;29;23
15-09-22;27;169;35;12
16-09-22;31;149;18;22
19-09-22;34;135;42;18
20-09-22;29;216;40;39
21-09-22;35;160;35;43
22-09-22;32;184;33;21
23-09-22;21;174;36;49
26-09-22;31;227;40;67
27-09-22;18;224;37;53
28-09-22;22;192;25;60
29-09-22;24;269;30;92
30-09-22;40;322;33;164
03-10-22;23;175;27;30
04-10-22;22;154;40;20
05-10-22;26;155;26;14
06-10-22;16;159;52;14
11-10-22;35;186;42;18
12-10-22;18;123;39;12
13-10-22;34;145;36;10
14-10-22;21;168;28;20
17-10-22;28;160;31;10
18-10-22;50;163;38;27
19-10-22;25;127;42;9
20-10-22;23;145;30;9
21-10-22;23;125;34;5
24-10-22;21;168;39;12
25-10-22;28;154;36;9
26-10-22;35;130;37;17
27-10-22;24;148;20;9
28-10-22;25;126;39;13
31-10-22;20;133;53;8
01-11-22;30;144;37;11
02-11-22;31;141;27;7
03-11-22;22;143;53;20
04-11-22;32;137;29;9
07-11-22;6;149;26;2
08-11-22;43;198;37;9
09-11-22;43;183;32;12
10-11-22;12;149;18;1
11-11-22;42;226;34;12
14-11-22;34;142;27;12
15-11-22;34;189;18;22
16-11-22;14;116;23;12
17-11-22;24;153;31;12
18-11-22;35;169;39;18
22-11-22;16;134;35;12
23-11-22;28;145;38;14
24-11-22;22;165;24;25
25-11-22;25;123;34;18
28-11-22;26;130;32;15
29-11-22;28;142;49;16
30-11-22;30;110;33;19
01-12-22;15;119;29;14
02-12-22;25;172;38;30
05-12-22;27;198;41;27
06-12-22;43;175;35;34
07-12-22;29;169;39;17
12-12-22;67;230;34;20
13-12-22;38;156;38;30
14-12-22;22;156;33;32
15-12-22;21;199;39;19
16-12-22;31;167;25;26
19-12-22;17;154;36;9
20-12-22;27;149;14;1
21-12-22;16;195;48;40
22-12-22;26;169;34;38
23-12-22;27;149;23;9
26-12-22;22;149;27;1
27-12-22;34;259;55;5
28-12-22;26;197;34;138
29-12-22;20;278;28;62
30-12-22;27;149;8;7
02-01-23;30;237;35;14
03-01-23;39;217;37;3
04-01-23;43;252;33;13
05-01-23;31;241;29;21
06-01-23;34;228;21;18
09-01-23;21;281;35;25
10-01-23;41;223;51;18
11-01-23;66;208;22;24
12-01-23;38;222;38;27
13-01-23;35;237;37;31
16-01-23;50;171;33;19
17-01-23;27;191;35;16
18-01-23;45;188;47;15
19-01-23;26;168;41;14
20-01-23;19;181;26;17
23-01-23;28;215;55;16
24-01-23;37;172;37;14
25-01-23;35;161;35;11
26-01-23;33;167;49;15
27-01-23;35;124;23;17
30-01-23;35;205;26;15
31-01-23;47;174;26;16
01-02-23;20;176;54;10
02-02-23;40;137;38;23
03-02-23;26;155;30;8
06-02-23;42;212;38;19
07-02-23;31;193;21;10
08-02-23;40;170;44;13
09-02-23;37;206;31;18
10-02-23;26;196;34;10
13-02-23;36;166;35;12
14-02-23;26;185;37;20
15-02-23;41;201;34;7
16-02-23;35;177;32;16
17-02-23;12;172;39;12
22-02-23;29;214;35;13
23-02-23;43;199;33;10
24-02-23;22;152;41;17
27-02-23;3;185;28;18
28-02-23;4;200;46;18
01-03-23;27;151;24;15
02-03-23;20;118;22;5
