FECHA;CC;WAPP;TP;TAD;PP
2022-01-03;45;0;37;31;4
2022-01-04;63;0;24;24;5
2022-01-05;63;0;39;18;12
2022-01-06;71;0;33;26;5
2022-01-07;58;0;29;9;6
2022-01-10;87;0;15;15;4
2022-01-11;57;0;17;19;12
2022-01-12;69;0;8;25;9
2022-01-13;43;0;1;24;14
2022-01-14;4;0;3;16;7
2022-01-17;45;0;23;26;9
2022-01-18;64;0;149;34;6
2022-01-19;60;0;3;30;10
2022-01-20;81;0;18;19;11
2022-01-21;60;0;20;35;5
2022-01-24;64;0;4;26;5
2022-01-25;44;0;1;42;2
2022-01-26;54;0;1;32;9
2022-01-27;46;0;149;25;11
2022-01-28;44;0;3;21;8
2022-01-31;53;0;1;29;8
2022-02-01;48;0;2;41;8
2022-02-02;74;0;22;26;7
2022-02-03;38;0;27;29;7
2022-02-04;60;0;43;34;12
2022-02-07;57;0;6;29;4
2022-02-08;47;0;15;34;5
2022-02-09;49;0;38;30;6
2022-02-10;34;0;20;33;6
2022-02-11;39;0;19;21;3
2022-02-14;40;0;3;23;4
2022-02-15;44;0;10;28;5
2022-02-16;52;0;43;23;14
2022-02-17;42;0;47;30;8
2022-02-18;41;0;43;30;5
2022-02-21;65;0;35;25;4
2022-02-22;46;0;38;31;3
2022-02-23;37;0;55;25;10
2022-02-24;42;0;32;30;8
2022-02-25;38;0;61;24;6
2022-03-02;55;0;45;29;6
2022-03-03;39;0;56;28;7
2022-03-04;36;0;72;32;11
2022-03-07;61;0;58;43;10
2022-03-08;53;0;70;38;7
2022-03-09;52;0;60;49;1
2022-03-10;45;0;58;35;7
2022-03-11;55;0;74;39;10
2022-03-14;49;0;66;28;10
2022-03-15;46;19;78;53;9
2022-03-16;53;12;70;26;12
2022-03-17;62;14;66;41;14
2022-03-18;57;67;50;20;9
2022-03-21;61;45;65;44;8
2022-03-22;67;32;64;34;13
2022-03-23;55;37;60;42;9
2022-03-25;47;29;74;29;11
2022-03-28;53;32;47;48;12
2022-03-29;55;47;63;37;15
2022-03-30;43;46;48;31;9
2022-03-31;44;17;56;48;12
2022-04-01;32;24;43;28;7
2022-04-04;57;33;66;44;9
2022-04-05;43;42;70;31;14
2022-04-06;51;44;81;30;14
2022-04-07;51;25;93;40;14
2022-04-08;47;23;81;31;26
2022-04-11;54;29;82;29;10
2022-04-12;56;31;78;41;15
2022-04-13;62;20;83;30;18
2022-04-18;64;23;82;31;14
2022-04-19;64;24;102;40;7
2022-04-20;62;32;113;34;17
2022-04-21;65;29;122;29;16
2022-04-22;62;13;100;19;17
2022-04-25;57;21;133;34;20
2022-04-26;51;19;113;37;24
2022-04-27;45;20;125;26;24
2022-04-28;44;18;120;32;39
2022-04-29;48;19;119;22;23
2022-05-02;43;21;113;28;18
2022-05-03;60;19;107;31;14
2022-05-04;54;20;121;60;18
2022-05-05;57;18;144;38;23
2022-05-06;44;19;111;23;15
2022-05-09;51;23;118;43;21
2022-05-10;49;24;127;44;22
2022-05-11;53;32;140;25;20
2022-05-12;46;29;129;31;43
2022-05-13;71;13;131;27;51
2022-05-16;70;18;115;29;32
2022-05-17;77;19;113;31;42
2022-05-19;56;23;153;27;10
2022-05-20;74;24;144;15;25
2022-05-23;70;32;157;25;23
2022-05-24;28;37;179;18;17
2022-05-26;72;35;145;41;19
2022-05-27;42;49;168;27;24
2022-05-30;60;48;195;36;30
2022-05-31;69;26;169;31;22
2022-06-01;62;32;156;35;28
2022-06-02;58;25;177;35;30
2022-06-03;81;30;176;37;15
2022-06-06;84;37;194;26;23
2022-06-07;68;35;220;39;23
2022-06-08;76;26;181;33;26
2022-06-09;68;50;215;48;35
2022-06-10;68;33;185;31;35
2022-06-13;41;49;209;28;31
2022-06-14;78;48;197;36;16
2022-06-15;52;41;185;31;44
2022-06-16;58;41;199;24;32
2022-06-21;57;46;220;25;26
2022-06-22;53;59;253;31;45
2022-06-23;98;78;287;27;59
2022-06-24;92;40;288;36;65
2022-06-27;111;79;334;14;68
2022-06-28;98;79;418;41;165
2022-06-29;81;132;453;41;178
2022-06-30;60;134;358;32;181
2022-07-01;86;113;214;23;29
2022-07-04;80;50;212;29;38
2022-07-05;64;41;203;54;45
2022-07-06;60;38;187;41;23
2022-07-07;64;47;207;47;41
2022-07-08;70;44;185;53;24
2022-07-11;78;44;185;34;25
2022-07-12;66;49;208;45;25
2022-07-13;66;29;215;30;42
2022-07-14;55;41;196;39;40
2022-07-15;59;29;187;27;49
2022-07-18;53;34;218;20;23
2022-07-19;24;41;149;31;20
2022-07-20;66;39;199;48;36
2022-07-21;46;26;196;44;29
2022-07-22;43;25;173;21;37
2022-07-25;47;17;156;31;37
2022-07-26;51;31;192;22;24
2022-07-27;49;23;207;29;32
2022-07-28;59;42;220;61;54
2022-07-29;49;31;197;37;92
2022-08-01;48;30;160;40;22
2022-08-02;42;31;147;33;18
2022-08-03;55;34;142;35;31
2022-08-04;44;19;149;37;11
2022-08-05;45;24;172;32;20
2022-08-08;34;31;171;46;13
2022-08-09;42;27;152;40;14
2022-08-10;52;36;150;45;9
2022-08-11;53;45;156;61;29
2022-08-12;59;35;164;27;9
2022-08-16;40;27;156;19;14
2022-08-17;51;25;122;26;12
2022-08-18;56;19;140;29;15
2022-08-19;48;31;139;20;10
2022-08-22;54;25;205;34;13
2022-08-23;64;25;181;36;18
2022-08-24;48;40;167;36;14
2022-08-25;59;30;158;20;33
2022-08-26;39;33;142;40;30
2022-08-29;46;36;190;51;33
2022-08-30;31;40;167;61;39
2022-08-31;47;42;177;41;19
2022-09-01;42;44;126;49;16
2022-09-02;51;5;149;14;3
2022-09-05;38;15;131;22;22
2022-09-06;62;28;114;39;19
2022-09-07;63;28;100;35;16
2022-09-08;51;32;206;42;22
2022-09-09;43;21;169;25;18
2022-09-12;48;21;180;40;19
2022-09-13;45;21;182;44;22
2022-09-14;57;18;159;29;23
2022-09-15;69;27;169;35;12
2022-09-16;56;31;149;18;22
2022-09-19;51;34;135;42;18
2022-09-20;54;29;216;40;39
2022-09-21;47;35;160;35;43
2022-09-22;48;32;184;33;21
2022-09-23;47;21;174;36;49
2022-09-26;65;31;227;40;67
2022-09-27;60;18;224;37;53
2022-09-28;60;22;192;25;60
2022-09-29;45;24;269;30;92
2022-09-30;61;40;322;33;164
2022-10-03;62;23;175;27;30
2022-10-04;46;22;154;40;20
2022-10-05;41;26;155;26;14
2022-10-06;43;16;159;52;14
2022-10-11;63;35;186;42;18
2022-10-12;64;18;123;39;12
2022-10-13;56;34;145;36;10
2022-10-14;58;21;168;28;20
2022-10-17;59;28;160;31;10
2022-10-18;66;50;163;38;27
2022-10-19;56;25;127;42;9
2022-10-20;40;23;145;30;9
2022-10-21;40;23;125;34;5
2022-10-24;33;21;168;39;12
2022-10-25;55;28;154;36;9
2022-10-26;34;35;130;37;17
2022-10-27;28;24;148;20;9
2022-10-28;28;25;126;39;13
2022-10-31;38;20;133;53;8
2022-11-01;48;30;144;37;11
2022-11-02;31;31;141;27;7
2022-11-03;38;22;143;53;20
2022-11-04;44;32;137;29;9
2022-11-07;51;6;149;26;2
2022-11-08;62;43;198;37;9
2022-11-09;61;43;183;32;12
2022-11-10;51;12;149;18;1
2022-11-11;70;42;226;34;12
2022-11-14;43;34;142;27;12
2022-11-15;44;34;189;18;22
2022-11-16;26;14;116;23;12
2022-11-17;34;24;153;31;12
2022-11-18;40;35;169;39;18
2022-11-22;48;16;134;35;12
2022-11-23;51;28;145;38;14
2022-11-24;45;22;165;24;25
2022-11-25;46;25;123;34;18
2022-11-28;38;26;130;32;15
2022-11-29;37;28;142;49;16
2022-11-30;35;30;110;33;19
2022-12-01;40;15;119;29;14
2022-12-02;55;25;172;38;30
2022-12-05;45;27;198;41;27
2022-12-06;48;43;175;35;34
2022-12-07;52;29;169;39;17
2022-12-12;51;67;230;34;20
2022-12-13;66;38;156;38;30
2022-12-14;52;22;156;33;32
2022-12-15;47;21;199;39;19
2022-12-16;41;31;167;25;26
2022-12-19;49;17;154;36;9
2022-12-20;51;27;149;14;1
2022-12-21;52;16;195;48;40
2022-12-22;40;26;169;34;38
2022-12-23;51;27;149;23;9
2022-12-26;51;22;149;27;1
2022-12-27;73;34;259;55;5
2022-12-28;63;26;197;34;138
2022-12-29;71;20;278;28;62
2022-12-30;51;27;149;8;7
2023-01-02;67;30;237;35;14
2023-01-03;83;39;217;37;3
2023-01-04;82;43;252;33;13
2023-01-05;76;31;241;29;21
2023-01-06;65;34;228;21;18
2023-01-09;90;21;281;35;25
2023-01-10;80;41;223;51;18
2023-01-11;95;66;208;22;24
2023-01-12;93;38;222;38;27
2023-01-13;61;35;237;37;31
2023-01-16;21;50;171;33;19
2023-01-17;78;27;191;35;16
2023-01-18;57;45;188;47;15
2023-01-19;70;26;168;41;14
2023-01-20;51;19;181;26;17
2023-01-23;36;28;215;55;16
